"repeatmasker_name" "repeatmasker_subtype" "colors" "fam_gen_perc_RM"
"319" "Low.complexity148" "LC_DNA" "not_kmer" 0.0437184782371952
"320" "Low.complexity149" "LC_DNA" "not_kmer" 0.0257293664774012
"321" "Low.complexity15" "LC_DNA" "not_kmer" 0.00768420968908467
"322" "Low.complexity150" "LC_DNA" "not_kmer" 0.11516213004534
"323" "Low.complexity151" "LC_DNA" "not_kmer" 0.00391778241299622
"324" "Low.complexity152" "LC_DNA" "not_kmer" 0.0402198589417108
"325" "Low.complexity153" "LC_DNA" "not_kmer" 0.00839903550197502
"326" "Low.complexity154" "LC_DNA" "not_kmer" 0.0156583768910037
"327" "Low.complexity155" "LC_DNA" "not_kmer" 0.016949761739831
"328" "Low.complexity156" "LC_DNA" "not_kmer" 0.00951389529090541
"329" "Low.complexity157" "LC_DNA" "not_kmer" 0.0120446471477158
"330" "Low.complexity158" "LC_DNA" "not_kmer" 0.00640859799199724
"331" "Low.complexity159" "LC_DNA" "not_kmer" 0.0282678371105949
"332" "Low.complexity16" "LC_DNA" "not_kmer" 0.0899626743466031
"333" "Low.complexity160" "LC_DNA" "not_kmer" 0.00811142718195294
"334" "Low.complexity161" "LC_DNA" "not_kmer" 0.00728384011407143
"335" "Low.complexity162" "LC_DNA" "not_kmer" 0.00653176281515722
"336" "Low.complexity163" "LC_DNA" "not_kmer" 0.0410276456701742
"337" "Low.complexity164" "LC_DNA" "not_kmer" 0.0166487294608814
"338" "Low.complexity165" "LC_DNA" "not_kmer" 0.00727242974898304
"339" "Low.complexity166" "LC_DNA" "not_kmer" 0.00959007625781908
"340" "Low.complexity167" "LC_DNA" "not_kmer" 0.0114704373045912
"341" "Low.complexity168" "LC_DNA" "not_kmer" 0.025421957817961
"342" "Low.complexity169" "LC_DNA" "not_kmer" 0.0104609555932418
"343" "Low.complexity17" "LC_DNA" "not_kmer" 0.0167903522275667
"344" "Low.complexity170" "LC_DNA" "not_kmer" 0.012068139075839
"345" "Low.complexity171" "LC_DNA" "not_kmer" 0.00788422667710469
"346" "Low.complexity172" "LC_DNA" "not_kmer" 0.0130319793268348
"347" "Low.complexity173" "LC_DNA" "not_kmer" 0.00698851301766603
"348" "Low.complexity174" "LC_DNA" "not_kmer" 0.00894539063032501
"349" "Low.complexity175" "LC_DNA" "not_kmer" 0.00409867025954453
"350" "Low.complexity176" "LC_DNA" "not_kmer" 0.102932567863398
"351" "Low.complexity177" "LC_DNA" "not_kmer" 0.0219918007130069
"352" "Low.complexity178" "LC_DNA" "not_kmer" 0.0125399912321412
"353" "Low.complexity179" "LC_DNA" "not_kmer" 0.00853830907584802
